"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"931940.6600000003","user_info.html","external-html","0","931657","0.0-0.0","male","27","Asia10","","",""
"1334.3350000004284","instruction_page.html","external-html","1","933030","0.0-1.0","","","","","",""
"1473.804999999702","instruction_page2.html","external-html","2","934534","0.0-2.0","","","","","",""
"1262.6099999997532","instruction_page3.html","external-html","3","935822","0.0-3.0","","","","","",""
"4653.825000000303","","survey-likert","4","940479","0.0-4.0","","","","origin37","{""0"":4,""1"":2}","[0,1]"
"4396.179999999818","","survey-likert","5","944879","0.0-5.0","","","","origin10","{""0"":3,""1"":4}","[0,1]"
"3683.600000000326","","survey-likert","6","948567","0.0-6.0","","","","origin14","{""0"":2,""1"":3}","[0,1]"
"8893.109999999986","","survey-likert","7","957463","0.0-7.0","","","","data26","{""0"":4,""1"":2}","[0,1]"
"3964.6149999998743","","survey-likert","8","961431","0.0-8.0","","","","origin6","{""0"":2,""1"":4}","[0,1]"
"3020.4249999996973","","survey-likert","9","964455","0.0-9.0","","","","origin4","{""0"":3,""1"":1}","[0,1]"
"3092.2100000007777","","survey-likert","10","967551","0.0-10.0","","","","origin15","{""0"":2,""1"":4}","[0,1]"
"10700.284999999916","","survey-likert","11","978255","0.0-11.0","","","","origin21","{""0"":1,""1"":1}","[0,1]"
"4204.794999999693","","survey-likert","12","982463","0.0-12.0","","","","data10","{""0"":1,""1"":1}","[0,1]"
"3612.664999999688","","survey-likert","13","986079","0.0-13.0","","","","data11","{""0"":1,""1"":1}","[0,1]"
"3380.100000000326","","survey-likert","14","989463","0.0-14.0","","","","origin28","{""0"":1,""1"":1}","[0,1]"
"2620.4850000003353","","survey-likert","15","992087","0.0-15.0","","","","origin47","{""0"":1,""1"":1}","[0,1]"
"2844.959999999497","","survey-likert","16","994935","0.0-16.0","","","","origin9","{""0"":1,""1"":1}","[0,1]"
"3396.2999999994645","","survey-likert","17","998335","0.0-17.0","","","","data29","{""0"":1,""1"":1}","[0,1]"
"2636.5649999998277","","survey-likert","18","1000975","0.0-18.0","","","","origin23","{""0"":1,""1"":1}","[0,1]"
"2572.4999999993015","","survey-likert","19","1003551","0.0-19.0","","","","data33","{""0"":1,""1"":1}","[0,1]"
"3684.3599999992875","","survey-likert","20","1007239","0.0-20.0","","","","origin41","{""0"":1,""1"":1}","[0,1]"
"3244.20000000007","","survey-likert","21","1010487","0.0-21.0","","","","data1","{""0"":1,""1"":2}","[0,1]"
"3372.1350000005914","","survey-likert","22","1013863","0.0-22.0","","","","data55","{""0"":2,""1"":4}","[0,1]"
"2356.600000000093","","survey-likert","23","1016223","0.0-23.0","","","","data37","{""0"":2,""1"":3}","[0,1]"
"3324.7099999998463","","survey-likert","24","1019551","0.0-24.0","","","","data28","{""0"":4,""1"":2}","[0,1]"
"2948.184999999241","","survey-likert","25","1022503","0.0-25.0","","","","data49","{""0"":2,""1"":3}","[0,1]"
"3044.050000000396","","survey-likert","26","1025551","0.0-26.0","","","","origin39","{""0"":3,""1"":2}","[0,1]"
"4812.624999999534","","survey-likert","27","1030367","0.0-27.0","","","","origin7","{""0"":2,""1"":3}","[0,1]"
"3524.0100000001257","","survey-likert","28","1033895","0.0-28.0","","","","origin29","{""0"":1,""1"":2}","[0,1]"
"2660.74000000034","","survey-likert","29","1036559","0.0-29.0","","","","origin42","{""0"":1,""1"":3}","[0,1]"
"3540.1299999994226","","survey-likert","30","1040103","0.0-30.0","","","","origin40","{""0"":0,""1"":2}","[0,1]"
"3492.454999999609","","survey-likert","31","1043599","0.0-31.0","","","","origin49","{""0"":1,""1"":3}","[0,1]"
"3220.3949999994365","","survey-likert","32","1046823","0.0-32.0","","","","origin30","{""0"":3,""1"":2}","[0,1]"
"3324.3699999994133","","survey-likert","33","1050151","0.0-33.0","","","","data3","{""0"":2,""1"":1}","[0,1]"
"5724.875","","survey-likert","34","1055879","0.0-34.0","","","","data22","{""0"":6,""1"":2}","[0,1]"
"4548.060000000056","","survey-likert","35","1060431","0.0-35.0","","","","origin2","{""0"":5,""1"":2}","[0,1]"
"7660.229999999516","","survey-likert","36","1068095","0.0-36.0","","","","origin35","{""0"":4,""1"":2}","[0,1]"
"4332.744999999879","","survey-likert","37","1072431","0.0-37.0","","","","data18","{""0"":5,""1"":2}","[0,1]"
"3580.0799999998417","","survey-likert","38","1076015","0.0-38.0","","","","data57","{""0"":5,""1"":1}","[0,1]"
"3076.6450000000186","","survey-likert","39","1079095","0.0-39.0","","","","data20","{""0"":5,""1"":2}","[0,1]"
"2604.20500000054","","survey-likert","40","1081703","0.0-40.0","","","","data36","{""0"":5,""1"":1}","[0,1]"
"4820.575000000652","","survey-likert","41","1086527","0.0-41.0","","","","data46","{""0"":3,""1"":1}","[0,1]"
"2892.2549999996554","","survey-likert","42","1089423","0.0-42.0","","","","origin17","{""0"":5,""1"":1}","[0,1]"
"3412.4999999993015","","survey-likert","43","1092839","0.0-43.0","","","","origin5","{""0"":5,""1"":1}","[0,1]"
"2252.179999999469","","survey-likert","44","1095095","0.0-44.0","","","","origin46","{""0"":5,""1"":2}","[0,1]"
